#TYPE Microsoft.PowerShell.Commands.MatchInfo
"IgnoreCase","LineNumber","Line","Filename","Path","Pattern","Context","Matches"
"True","314","  [DEBUG] Document-level STL success. Size: 114400","InputStream","InputStream","Size:",,"System.Text.RegularExpressions.Match[]"
"True","316","PN: HITTING BLOCK | Name: Part1.3 | Size: 55.0 x 55.0 x 20.0","InputStream","InputStream","Size:",,"System.Text.RegularExpressions.Match[]"
"True","319","  [DEBUG] Document-level STL success. Size: 114400","InputStream","InputStream","Size:",,"System.Text.RegularExpressions.Match[]"
"True","321","PN: HITTING BLOCK | Name: Part1.4 | Size: 55.0 x 55.0 x 20.0","InputStream","InputStream","Size:",,"System.Text.RegularExpressions.Match[]"
"True","324","  [DEBUG] Document-level STL success. Size: 114400","InputStream","InputStream","Size:",,"System.Text.RegularExpressions.Match[]"
"True","326","PN: HITTING BLOCK | Name: Part1.5 | Size: 55.0 x 55.0 x 20.0","InputStream","InputStream","Size:",,"System.Text.RegularExpressions.Match[]"
"True","329","  [DEBUG] Document-level STL success. Size: 42253","InputStream","InputStream","Size:",,"System.Text.RegularExpressions.Match[]"
"True","331","PN: 509_PART GAUGE PIN | Name: 509_PART GAUGE PIN.3 | Size: 10.0 x 10.0 x 35.0","InputStream","InputStream","Size:",,"System.Text.RegularExpressions.Match[]"
"True","334","  [DEBUG] Document-level STL success. Size: 42253","InputStream","InputStream","Size:",,"System.Text.RegularExpressions.Match[]"
"True","336","PN: 509_PART GAUGE PIN | Name: 509_PART GAUGE PIN.1 | Size: 10.0 x 10.0 x 35.0","InputStream","InputStream","Size:",,"System.Text.RegularExpressions.Match[]"
"True","339","  [DEBUG] Document-level STL success. Size: 6619050","InputStream","InputStream","Size:",,"System.Text.RegularExpressions.Match[]"
"True","341","PN: 002_UPPER SHOE  | Name: 002_UPPER SHOE .1 | Size: 1090.0 x 910.0 x 365.0","InputStream","InputStream","Size:",,"System.Text.RegularExpressions.Match[]"
"True","346","PN: ADAPTER_LOWER_AND_UPPER_DIE | Name: ADAPTER_LOWER_AND_UPPER_DIE.1 | Size: Not Measurable","InputStream","InputStream","Size:",,"System.Text.RegularExpressions.Match[]"
"True","349","  [DEBUG] Document-level STL success. Size: 398740","InputStream","InputStream","Size:",,"System.Text.RegularExpressions.Match[]"
"True","351","PN: 903-MAIN_WEAR_PLATE_UPPER | Name: 000-MAIN_WEAR_PLATE.1 | Size: 100.0 x 100.0 x 20.0","InputStream","InputStream","Size:",,"System.Text.RegularExpressions.Match[]"
"True","354","  [DEBUG] Document-level STL success. Size: 398740","InputStream","InputStream","Size:",,"System.Text.RegularExpressions.Match[]"
"True","356","PN: 903-MAIN_WEAR_PLATE_UPPER | Name: 000-MAIN_WEAR_PLATE.2 | Size: 100.0 x 100.0 x 20.0","InputStream","InputStream","Size:",,"System.Text.RegularExpressions.Match[]"
"True","359","  [DEBUG] Document-level STL success. Size: 398740","InputStream","InputStream","Size:",,"System.Text.RegularExpressions.Match[]"
"True","361","PN: 903-MAIN_WEAR_PLATE_UPPER | Name: 000-MAIN_WEAR_PLATE.3 | Size: 100.0 x 100.0 x 20.0","InputStream","InputStream","Size:",,"System.Text.RegularExpressions.Match[]"
"True","364","  [DEBUG] Document-level STL success. Size: 398740","InputStream","InputStream","Size:",,"System.Text.RegularExpressions.Match[]"
"True","366","PN: 903-MAIN_WEAR_PLATE_UPPER | Name: 000-MAIN_WEAR_PLATE.4 | Size: 100.0 x 100.0 x 20.0","InputStream","InputStream","Size:",,"System.Text.RegularExpressions.Match[]"
"True","371","PN: 000_LIFTER_DIA_100MM | Name: 000_LIFTER_DIA_80MM.4 | Size: Not Measurable","InputStream","InputStream","Size:",,"System.Text.RegularExpressions.Match[]"
"True","376","PN: 000_LIFTER_DIA_100MM | Name: 000_LIFTER_DIA_80MM.1 | Size: Not Measurable","InputStream","InputStream","Size:",,"System.Text.RegularExpressions.Match[]"
"True","381","PN: 000_LIFTER_DIA_100MM | Name: 000_LIFTER_DIA_80MM.2 | Size: Not Measurable","InputStream","InputStream","Size:",,"System.Text.RegularExpressions.Match[]"
"True","386","PN: 000_LIFTER_DIA_100MM | Name: 000_LIFTER_DIA_80MM.3 | Size: Not Measurable","InputStream","InputStream","Size:",,"System.Text.RegularExpressions.Match[]"
"True","389","  [DEBUG] Document-level STL success. Size: 69521","InputStream","InputStream","Size:",,"System.Text.RegularExpressions.Match[]"
